team,flag,rank,apps,best,last,players,wc_gold,wc_silver,wc_bronze
EUA,🇺🇸,14,11,3º lugar (1930),Oitavas 2022 — eliminado pelos Países Baixos,"Pulisic, McKennie, Adams, Turner, Reyna",0,0,1
Coreia do Sul,🇰🇷,25,11,4º lugar / Semifinal (2002),Oitavas 2022 — eliminada pelo Brasil,"Son, Kim Min-Jae, Lee Kang-In",0,0,1
Austrália,🇦🇺,22,6,Quartas de final (2006),Oitavas 2022 — eliminada pela Argentina,"Leckie, Ryan, Irvine, Duke",0,0,0
Noruega,🇳🇴,31,3,Quartas de final (1938),Não se classificou para 2022,"Haaland, Ödegaard, Ajer",0,0,0
Suíça,🇨🇭,19,12,"Quartas (1934, 1938, 1954)",Quartas 2022 — eliminada por Portugal,"Xhaka, Embolo, Sommer, Shaqiri",0,0,0
Costa do Marfim,🇨🇮,46,4,Fase de grupos (múltiplas),Não se classificou para 2022,"Haller, Zaha, Pépé, Seri",0,0,0
Turquia,🇹🇷,37,5,3º lugar (2002),Não se classificou para 2022,"Çalhanoglu, Demiral, Yıldız, Güler",0,0,1
Equador,🇪🇨,44,4,Oitavas de final (2006),Fase de grupos 2022,"Valencia, Caicedo, Plata",0,0,0
Iraque,🇮🇶,57,2,Fase de grupos (1986),Retorno histórico após 40 anos,"Amjed, Shahin, Abbas",0,0,0
Jordânia,🇯🇴,63,0,Estreia na Copa do Mundo,Primeira participação na história,"Baha Faisal, Sahel",0,0,0
Áustria,🇦🇹,24,7,3º lugar (1954),Não se classificou para 2022,"Alaba, Arnautovic, Baumgartner",0,0,1
Argélia,🇩🇿,28,4,Oitavas de final (2014),Não se classificou para 2022,"Mahrez, Belaïli, Slimani",0,0,0
Congo,🇨🇩,46,1,Fase de grupos 1974 (Zaire),Retorno histórico após 52 anos,"Kakuta, Meschack, Inonga",0,0,0
Colômbia,🇨🇴,13,7,Quartas de final (2014),Não se classificou para 2022,"Díaz, Arias, Borja, Cuesta",0,0,0
Uzbequistão,🇺🇿,50,0,Estreia na Copa do Mundo,Primeira participação na história,"Shorakhmedov, Shodiev",0,0,0
Panamá,🇵🇦,33,2,Fase de grupos (2018),Não se classificou para 2022,"Godoy, Murillo, Davis",0,0,0
Gana,🇬🇭,74,4,Quartas de final (2010),Fase de grupos 2022,"Kudus, Ayew, Djiku",0,0,0
Croácia,🇭🇷,10,7,Vice-campeão 2018 / 3º 2022,3º lugar 2022,"Modrić, Kovačić, Gvardiol",0,1,2
Paraguai,🇵🇾,33,9,Quartas de final (1986),Não se classificou para 2022,"Sanabria, Almirón, Villasanti",0,0,0
Uruguai,🇺🇾,18,14,"Campeão 2× (1930, 1950)",Fase de grupos 2022,"Valverde, Bentancur, Núñez, Suárez",2,0,2
Japão,🇯🇵,17,7,Oitavas de final (múltiplas),Oitavas 2022 — eliminado pela Croácia nos pênaltis,"Minamino, Doan, Morita, Ueda",0,0,0
Canadá,🇨🇦,49,2,Fase de grupos (1986, 2022),Fase de grupos 2022 — eliminado na fase inicial,"Alphonso Davies, Jonathan David, Tajon Buchanan",0,0,0
México,🇲🇽,15,17,"Quartas de final 2× (1970, 1986)",Fase de grupos 2022 — eliminado na fase inicial,"Hirving Lozano, Edson Álvarez, Santiago Giménez",0,0,0
Nova Zelândia,🇳🇿,94,2,"Fase de grupos (1982, 2010)",Não se classificou para 2022,"Chris Wood, Liberato Cacace, Joe Bell",0,0,0
Suécia,🇸🇪,28,12,"Vice-campeão 1× (1958) / 3º lugar 2× (1950, 1994)",Não se classificou para 2022,"Alexander Isak, Dejan Kulusevski, Viktor Gyökeres",0,1,2
República Tcheca,🇨🇿,40,9,"Vice-campeão 2× (1934, 1962)",Não se classificou para 2022,"Patrik Schick, Tomáš Souček, Vladimír Coufal",0,2,0
Bósnia e Herzegovina,🇧🇦,71,1,"Fase de grupos (2014)",Não se classificou para 2022,"Edin Džeko, Miralem Pjanić, Rade Krunić",0,0,0
África do Sul,🇿🇦,58,3,"Fase de grupos (1998, 2002, 2010)",Não se classificou para 2022,"Percy Tau, Themba Zwane, Teboho Mokoena",0,0,0
Arábia Saudita,🇸🇦,56,6,"Oitavas de final (1994)",Fase de grupos 2022 — eliminada na fase inicial,"Salem Al-Dawsari, Saud Abdulhamid, Firas Al-Buraikan",0,0,0
